Typical Measured Spectrum of Semrock FF01-500/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
380.8	1.1205e-06
381.0	1.0735e-06
381.2	1.0284e-06
381.4	9.8519e-07
381.6	9.4381e-07
381.8	9.0417e-07
382.0	9.6867e-07
382.2	1.0568e-06
382.4	1.153e-06
382.6	1.258e-06
382.8	1.3725e-06
383.0	1.4974e-06
383.2	1.6337e-06
383.4	1.7824e-06
383.6	1.9446e-06
383.8	2.1216e-06
384.0	2.0349e-06
384.2	1.8563e-06
384.4	1.6934e-06
384.6	1.5448e-06
384.8	1.4092e-06
385.0	1.2856e-06
385.2	1.1728e-06
385.4	1.0698e-06
385.6	9.7596e-07
385.8	8.9032e-07
386.0	8.5773e-07
386.2	8.5893e-07
386.4	8.6014e-07
386.6	8.6136e-07
386.8	8.6257e-07
387.0	8.6378e-07
387.2	8.65e-07
387.4	8.6622e-07
387.6	8.6744e-07
387.8	8.6866e-07
388.0	8.571e-07
388.2	8.3082e-07
388.4	8.0535e-07
388.6	7.8065e-07
388.8	7.5672e-07
389.0	7.3352e-07
389.2	7.1103e-07
389.4	6.8923e-07
389.6	6.681e-07
389.8	6.4762e-07
390.0	6.3112e-07
390.2	6.325e-07
390.4	6.3388e-07
390.6	6.3527e-07
390.8	6.3666e-07
391.0	6.3806e-07
391.2	6.3945e-07
391.4	6.4085e-07
391.6	6.4226e-07
391.8	6.4366e-07
392.0	6.3773e-07
392.2	6.3053e-07
392.4	6.234e-07
392.6	6.1636e-07
392.8	6.094e-07
393.0	6.0251e-07
393.2	5.9571e-07
393.4	5.8898e-07
393.6	5.8232e-07
393.8	5.7575e-07
394.0	5.8053e-07
394.2	5.9008e-07
394.4	5.9978e-07
394.6	6.0964e-07
394.8	6.1967e-07
395.0	6.2985e-07
395.2	6.4021e-07
395.4	6.5073e-07
395.6	6.6143e-07
395.8	6.7231e-07
396.0	6.856e-07
396.2	7.0078e-07
396.4	7.1629e-07
396.6	7.3214e-07
396.8	7.4835e-07
397.0	7.6492e-07
397.2	7.8185e-07
397.4	7.9915e-07
397.6	8.1684e-07
397.8	8.3493e-07
398.0	8.2956e-07
398.2	7.9671e-07
398.4	7.6517e-07
398.6	7.3488e-07
398.8	7.0578e-07
399.0	6.7784e-07
399.2	6.51e-07
399.4	6.2522e-07
399.6	6.0047e-07
399.8	5.767e-07
400.0	5.5831e-07
400.2	5.6284e-07
400.4	5.674e-07
400.6	5.72e-07
400.8	5.7663e-07
401.0	5.813e-07
401.2	5.8602e-07
401.4	5.9077e-07
401.6	5.9555e-07
401.8	6.0038e-07
402.0	5.6823e-07
402.2	5.3138e-07
402.4	4.9692e-07
402.6	4.6469e-07
402.8	4.3456e-07
403.0	4.0637e-07
403.2	3.8002e-07
403.4	3.5537e-07
403.6	3.3233e-07
403.8	3.1078e-07
404.0	3.0094e-07
404.2	2.9551e-07
404.4	2.9017e-07
404.6	2.8493e-07
404.8	2.7978e-07
405.0	2.7472e-07
405.2	2.6976e-07
405.4	2.6489e-07
405.6	2.601e-07
405.8	2.554e-07
406.0	2.5621e-07
406.2	2.6087e-07
406.4	2.6561e-07
406.6	2.7044e-07
406.8	2.7536e-07
407.0	2.8037e-07
407.2	2.8547e-07
407.4	2.9066e-07
407.6	2.9594e-07
407.8	3.0132e-07
408.0	3.0093e-07
408.2	2.9406e-07
408.4	2.8735e-07
408.6	2.8078e-07
408.8	2.7437e-07
409.0	2.6811e-07
409.2	2.6199e-07
409.4	2.56e-07
409.6	2.5016e-07
409.8	2.4444e-07
410.0	2.4238e-07
410.2	2.5746e-07
410.4	2.7349e-07
410.6	2.9051e-07
410.8	3.0858e-07
411.0	3.2779e-07
411.2	3.4819e-07
411.4	3.6986e-07
411.6	3.9288e-07
411.8	4.1733e-07
412.0	4.234e-07
412.2	4.2568e-07
412.4	4.2798e-07
412.6	4.3029e-07
412.8	4.3261e-07
413.0	4.3494e-07
413.2	4.3729e-07
413.4	4.3964e-07
413.6	4.4201e-07
413.8	4.444e-07
414.0	4.4298e-07
414.2	4.4007e-07
414.4	4.3718e-07
414.6	4.343e-07
414.8	4.3144e-07
415.0	4.2861e-07
415.2	4.2579e-07
415.4	4.2299e-07
415.6	4.202e-07
415.8	4.1744e-07
416.0	4.1089e-07
416.2	4.0192e-07
416.4	3.9314e-07
416.6	3.8455e-07
416.8	3.7615e-07
417.0	3.6793e-07
417.2	3.599e-07
417.4	3.5203e-07
417.6	3.4435e-07
417.8	3.3682e-07
418.0	3.407e-07
418.2	3.5735e-07
418.4	3.7483e-07
418.6	3.9315e-07
418.8	4.1237e-07
419.0	4.3254e-07
419.2	4.5369e-07
419.4	4.7587e-07
419.6	4.9914e-07
419.8	5.2354e-07
420.0	5.4788e-07
420.2	5.6756e-07
420.4	5.8795e-07
420.6	6.0907e-07
420.8	6.3095e-07
421.0	6.5361e-07
